Na,Mg,Al,Si,P,S,Cl,K,Ca,Fe,Cu,Zn,Ba,Pb,OC,EC,SO4,NO3
0.005327035,0.061625528,0.019405131,0.084406068,0.053416199,0.458826466,0.02205823,0.039011675,0.205545756,0.138822388,0.067452623,0.064931484,0,0.064889812,3.25,1.21,1.240749748,0.42
0.166024545,0.062858296,0.029840899,0.132888204,0.030029809,0.687082319,0.020563283,0.055525761,0.319294118,0.197320756,0.066034795,0.101473049,0.018786123,0.171915761,3.82,1.49,2.179404686,0.59
0,0.075571857,0.049787847,0.073065375,0,1.239255972,0,0.036244299,0.139472906,0.172997103,0.014447875,0.029031043,0.04775133,0.009299618,2.51,1.13,2.310732527,1.05
0.205914724,0.065931931,0.018093014,0.081683081,0.000112861,1.172688304,0,0.047655518,0.175442279,0.129366814,0.005269194,0.020604169,0.031749184,0.017020835,2.81,0.82,2.298166597,1.11
0.218649624,0.027594071,0.026073698,0.124635117,0.008340741,1.714675981,0,0.077517742,0.228368648,0.191197643,0.013271299,0.054932379,0.025036433,0.053781442,6.36,1.55,3.354633622,1.61
0.020749835,0.019186301,0.065571147,0.217623103,0.046051292,2.220176758,0,0.078308738,0.233473864,0.209499674,0.073541696,0.141128064,0,0.049775977,4.36,1.2,5.00702433,1.19
0.060618509,0.048991897,0.053927986,0.216248022,0.001517725,1.982316463,0,0.069710938,0.328002738,0.205080904,0.056239384,0.251775328,0.012754463,0.347050888,4.26,1.28,3.47334587,0.48
0.298462904,0.04650434,0.028650121,0.215056077,0.007764854,1.960480818,0,0.083272584,0.240413731,0.19482789,0.039912339,0.142558199,0.010640464,0.05058813,4.37,0.85,3.777479469,0.38
0,0.078807177,0.070475718,0.161624774,0.00828314,2.99990491,0,0.102655718,0.168527391,0.131943522,0.057409065,0.197456259,0.024110841,0.062247799,4.89,0.98,5.428182363,0.64
0,0.089806453,0.014275991,0.070180599,0.028406606,0.886557965,0.042537221,0.105071006,0.108981639,0.075886635,0.746276724,0.13411727,0,0.277596798,2.83,0.76,1.82,0.08
0.353400295,0.04420633,0.022892439,0.068927661,0,1.045820094,0,0.051160291,0.082571332,0.08362138,0.030959034,0.013421145,0.002266991,0.006230749,3.61,0.57,1.30680471,0.86
0.604363404,0.094821849,0.03723371,0.079077309,0.004893573,1.815317142,0,0.074119906,0.073353956,0.060460454,0.000787227,0.013936046,0.014418311,0.003581528,3.81,0.53,3.957504429,0.74
