Date O1TC O2TC O3TC O4TC OPTC E1TC E2TC E3TC SO4 NO3 NH4 ALXC ASXC BAXC CAXC COXC CRXC CUXC FEXC HGXC KPXC MNXC NIXC PHXC PBXC RBXC SEXC SIXC SRXC TIXC VAXC ZNXC ZRXC
23JUL2001 0.0993911111 0.1528333333 0.2999333333 0.1185888889 0.1331222222 0.3698955556 0.2185888889 0.0313133333 0.4930333333 0.0888888889 0.0894444444 0.0251266667 0.0047936667 0.0748 0.0036622222 0.0022006667 0.0023998333 0.000771 0.0028866667 0.0024083333 0.0035377778 0.0007313333 0.0010596667 0.0169016667 0.0015636667 0.0028462222 0.0005266667 0.0056511111 0.00658 0.00425 0.02189 0.0008473333 0.0025245
24JUL2001 0.0604911111 0.1006333333 0.2460333333 0.1052888889 0.0972222222 0.1986955556 0.1762888889 0.0309133333 0.4930333333 0.0888888889 0.0894444444 0.0238266667 0.0010278333 0.0748 0.0032922222 0.0004923333 0.0023998333 0.001254 0.0089866667 0.0024083333 0.0015797778 0.0049693333 0.0010596667 0.0025416667 0.0039266667 0.0029302222 0.0007618333 0.0137911111 0.00658 0.00365 0.001571 0.0016933333 0.0025245
25JUL2001 0.0352911111 0.0900333333 0.2355333333 0.0943888889 0.1002222222 0.1962955556 0.1992888889 0.0343133333 0.4930333333 0.0888888889 0.0894444444 0.0089366667 0.0055936667 0.03586 0.0037022222 0.0025206667 0.0023998333 0.000808 0.0029666667 0.0024083333 0.0032477778 0.0008053333 0.0010596667 0.0173016667 0.0015136667 0.0021772222 0.0004756667 0.0063511111 0.00658 0.00425 0.00323 0.0009123333 0.0025245
27JUL2001 0.0583911111 0.1009333333 0.2237333333 0.1004888889 0.1746222222 0.2862955556 0.2037888889 0.0532133333 0.4930333333 0.0888888889 0.0894444444 0.0042933333 0.0023836667 0.04 0.0031622222 0.0018906667 0.0023998333 0.000535 0.0027766667 0.0024083333 0.0033777778 0.0018993333 0.0010596667 0.0336016667 0.0013986667 0.0027082222 0.0005436667 0.0064611111 0.00658 0.00425 0.00323 0.0007223333 0.0025245
28JUL2001 0.0476911111 0.1116333333 0.2430333333 0.1029888889 0.2007222222 0.2470955556 0.2074888889 0.0379133333 0.4930333333 0.0888888889 0.0894444444 0.0235266667 0.0010278333 0.0748 0.0031622222 0.0004923333 0.0023998333 0.001154 0.0088566667 0.0024083333 0.0015807778 0.0049893333 0.0010596667 0.0027516667 0.0039466667 0.0000522222 0.0007618333 0.0119911111 0.00658 0.00365 0.00323 0.0016633333 0.0025245
29JUL2001 0.0521911111 0.1027333333 0.2614333333 0.1044888889 0.1352222222 0.1836955556 0.1806888889 0.0294133333 0.4930333333 0.0888888889 0.0894444444 0.0089666667 0.0027636667 0.0748 0.0034522222 0.0004923333 0.0023998333 0.000549 0.0027466667 0.0024083333 0.0032577778 0.0007273333 0.0010596667 0.0003558333 0.0014486667 0.0027322222 0.0011486667 0.0059011111 0.00658 0.00425 0.00323 0.0007643333 0.0025245
30JUL2001 0.0602911111 0.1281333333 0.2765333333 0.1091888889 0.0786222222 0.1996955556 0.2045888889 0.0317133333 0.4930333333 0.0888888889 0.0894444444 0.0239266667 0.0010278333 0.0748 0.0034322222 0.0004923333 0.0023998333 0.001162 0.0090466667 0.0024083333 0.0015467778 0.0050293333 0.0010596667 0.0025016667 0.0039366667 0.0000522222 0.0007618333 0.0133911111 0.00658 0.00368 0.001586 0.0016033333 0.0025245
31JUL2001 0.0691911111 0.1332333333 0.2373333333 0.1128888889 0.0890222222 0.2100955556 0.1653888889 0.0195133333 0.4930333333 0.0888888889 0.0894444444 0.0107266667 0.0010278333 0.0748 0.0037622222 0.0004923333 0.0023998333 0.000546 0.0028866667 0.0024083333 0.0031977778 0.0008203333 0.0010596667 0.0003558333 0.0012766667 0.0022372222 0.0004866667 0.0071811111 0.00658 0.00425 0.00323 0.0006643333 0.0025245
01AUG2001 0.0405911111 0.1606333333 0.2144333333 0.0986888889 0.2474222222 0.0017733333 0.2274888889 0.0662133333 0.4930333333 0.0888888889 0.0894444444 0.0239266667 0.0013536667 0.0748 0.0032822222 0.0004923333 0.0023998333 0.001163 0.0090566667 0.0024083333 0.0015827778 0.0050293333 0.0010596667 0.0027716667 0.0039366667 0.0000522222 0.0007618333 0.0128911111 0.00658 0.00368 0.001589 0.0016033333 0.009807
02AUG2001 0.0395911111 0.2392333333 0.2168333333 0.0978888889 0.2250222222 0.0017733333 0.2202888889 0.0777133333 0.4930333333 0.0888888889 0.0894444444 0.0100266667 0.0028836667 0.0748 0.0036722222 0.0018306667 0.0023998333 0.000696 0.0027566667 0.0018913333 0.0034077778 0.0008183333 0.0010596667 0.0240016667 0.0016766667 0.0000522222 0.0004926667 0.0070911111 0.00658 0.00425 0.00323 0.0013933333 0.003927
