,"NORMALIZED TO OC, WEIGHTED BY EMISSION RATE",,,,,,,,,,,,,,,,,,,,,,,MG/MG OC ALL,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pre 1990,pre 90 no bus,1990-1993,90-93 no bus,1994-1997,1998+,PC,I,II,III,BUS,ID ALL,HCS,HW,CCS,CSJ,UD,HCSF,CCSF,MC,SI,,,pre 1990,pre 90 no bus,1990-1993,90-93 no bus,1994-1997,1998+,PC,I,II,III,BUS,ID ALL,HCS,HW,CCS,CSJ,UD,HCSF,CCSF,MC,SI
UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
OCTADECANOIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OCTADECANOIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
"8,15-PIMAREDIENOIC ACID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"8,15-PIMAREDIENOIC ACID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
NONADECANOIC ACID,0.290115557,0.139656606,0.236973155,0,0.021517332,0.012614744,0,0,0,0.085140699,0.561872848,0.045831178,0.091707316,0.012597271,0.007217821,0,4.22318257,0.063266589,0.120978234,0.703041799,0,,NONADECANOIC ACID,0.000290116,0.000139657,0.000236973,0,2.15173E-05,1.26147E-05,0,0,0,8.51407E-05,0.000561873,4.58312E-05,9.17073E-05,1.25973E-05,7.21782E-06,0,0.004223183,6.32666E-05,0.000120978,0.000703042,0
UNC,0.066723622,0.041808627,0.089024343,0,0.006158843,0.009300165,0,0,0,0.022541006,0.140672346,0.019356275,0.029773984,0.007810463,0.00261196,0,2.212326574,0.015875122,0.05229919,0.236391097,0,,UNC,5.80231E-05,2.79313E-05,4.73946E-05,0.00000001,4.30348E-06,2.52297E-06,0.00000001,0.00000001,0.00000001,1.70281E-05,0.000112375,9.16624E-06,1.83415E-05,2.51947E-06,1.4436E-06,0.00000001,0.000844637,1.26533E-05,2.41956E-05,0.000140608,0.00000001
PIMARIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,PIMARIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
SANDARACOPIMARIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SANDARACOPIMARIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
ISOPIMARIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ISOPIMARIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
EICOSANOIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,EICOSANOIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
DEHYDROABIETIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,DEHYDROABIETIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
ABIETIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ABIETIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
HENEICOSANOIC ACID,0.129074746,0.143916146,0.244085117,0,0,0,0,0,0,0.076629564,0.230519633,0.049205377,0.088322124,0,0,0,4.46748926,0,0,0.115882411,0,,HENEICOSANOIC ACID,0.000129075,0.000143916,0.000244085,0,0,0,0,0,0,7.66296E-05,0.00023052,4.92054E-05,8.83221E-05,0,0,0,0.004467489,0,0,0.000115882,0
UNC,0.041348808,0.04034278,0.089923939,0,0.002384113,0,0,0,0,0.021501945,0.086899965,0.012051773,0.028970006,0,0,0,2.272574915,0.010152294,0.033436311,0.120324988,0,,UNC,2.5815E-05,2.87832E-05,4.8817E-05,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,1.53259E-05,4.61039E-05,9.84108E-06,1.76644E-05,0.00000001,0.00000001,0.00000001,0.000893498,0.00000001,0.00000001,2.31765E-05,0.00000001
ABIETA-PENTAE-18-OIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ABIETA-PENTAE-18-OIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
ABIETA-TETRAEN-18-OIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ABIETA-TETRAEN-18-OIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
DOCOSANOIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,DOCOSANOIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
