SummerSecondary,WinterSecondary,Mobile,SteelMill,Soil,ZincSmelter,Fireworks,CopperSmelter,LeadSmelter
2.7924,1.2039,0.48802,0.093871,0.26393,0.032107,0.026029,0.045945,0.011051
2.4946,2.9806,1.0859,0.21182,0.19702,0.12942,0.036701,0.1351,0.056849
3.3222,3.0955,1.269,0.31229,0.46735,0.082605,0.10257,0.077661,0.059085
6.075,7.7325,0.64244,1.3969,0.080797,0.46985,0.045596,0.17772,0.033244
11.413,3.9478,0.95432,0.31681,0.12662,0.0074743,0.051244,0.25696,0.31054
6.0413,3.5995,1.0459,0.25537,0.4485,0.15399,0.045931,0.20337,0.0090222
3.8127,5.4202,1.5199,0.58714,0.13904,0.24508,0.024362,0.026065,0.027473
6.39,3.2201,0.431,0.61692,0.0019899,0.098651,0.019909,0.010876,0.025424
11.65,5.8956,0.70827,0.25878,0.038951,0.1086,0.021938,0.019368,0.028634
12.205,6.6377,0.66106,0.48048,0.15363,0.1504,0.017165,0.030839,0.062849
7.0043,8.06,0.30408,0.65183,0.023431,0.18897,0.017096,0.025606,0.077076
9.1228,6.8724,1.5531,0.66515,0.03936,0.59036,0.0092536,0.11396,0.061334
4.0367,3.9212,2.7829,0.16929,0.16837,0.88291,0.0097646,0.10095,0.075098
2.6819,0.93788,1.2294,0.098726,0.41141,0.11329,0.07718,2.2595,0.24336
4.7284,6.3023,1.292,0.46181,0.13049,0.35107,0.035106,0.031438,0.044681
6.5379,6.8368,0.96392,0.29259,0.076314,0.04255,0.016114,1.1424,0.30676
10.617,4.3605,1.1978,0.83578,0.21307,0.098902,0.075012,0.013993,0.049105
5.3715,6.3383,1.3641,1.5523,0.18976,0.29609,0.052757,0.043569,0.038511
2.3529,3.4559,0.85131,0.8,0.35582,0.30631,0.077097,0.012391,0.91384
2.0559,2.8635,1.4304,0.72039,0.70114,0.11268,0.067805,0.0068668,0.03448
4.4401,3.2017,1.3853,0.83209,0.64279,0.10812,0.074746,0.13038,0.057553
5.5759,6.0048,1.219,0.30344,0.31648,0.48452,0.013637,0.91737,0.040661
5.4259,3.5227,1.9117,0.59097,0.15102,0.37675,0.030341,0.027396,0.039789
2.4894,5.5063,3.1217,1.1995,0.34952,0.38904,0.068456,0.021877,0.053849
4.1227,8.9638,2.5598,2.3157,0.32998,0.20339,0.058962,0.18042,0.039478
4.5551,12.408,1.564,0.30009,0.34804,0.081182,0.037377,0.00026637,0.033474
5.3613,9.8455,1.6763,0.27487,0.53644,0.1543,0.076416,0.0058893,0.034666
6.9204,2.7904,1.026,0.29236,0.33297,0.1741,0.051729,0.37368,0.010817
5.7096,5.4948,1.5724,0.55502,0.15572,0.11312,0.070826,0.035548,0.023257
5.8176,5.8193,0.98817,0.40825,0.30457,0.054164,0.035842,0.016845,0.03973
7.8681,5.5749,1.8905,0.41354,0.59218,0.12503,0.076922,0.035214,0.036525
9.8176,4.508,2.2351,0.36595,0.54269,0.24105,0.041448,0.11588,0.013209
18.328,7.5769,1.2141,1.158,0.29354,0.63487,0.046828,0.016154,0.060816
8.5647,3.2088,1.5227,0.25459,0.28874,0.17291,0.042533,0.275,0.055636
9.2035,0.70032,1.3226,0.19552,0.32714,0.0081051,0.067976,0.78262,0.0081586
9.1279,0.36657,1.8539,0.16158,0.44698,0.025644,0.082398,0.10193,0.00013496
5.738,1.0129,2.6992,0.32027,0.42731,0.14381,0.13448,0.062187,0.01815
7.1328,1.0166,3.579,0.17111,0.40895,0.3488,0.20348,0.05317,0.039369
6.1257,0.68078,3.8268,0.28591,0.40617,0.39165,0.18195,0.023557,0.080339
7.9286,6.7216,0.30337,0.62573,0.1658,0.23414,0.015998,0.056953,0.019862
5.2069,2.5819,0.38247,0.28204,0.086132,0.024054,0.036509,0.0079619,0.010293
2.5312,2.4545,1.0784,0.29537,0.11455,0.12148,0.021947,0.0077472,0.039462
5.1827,2.9486,1.329,0.33034,0.41467,0.043071,0.031074,0.0018008,0.019279
5.7393,1.8641,1.3534,0.32206,0.42786,0.14894,0.068168,0.18563,0.014818
1.4032,0.30458,2.148,0.54142,0.99466,0.20806,0.03785,0.026229,0.033221
1.1338,1.5589,1.7802,1.3634,1.009,0.060233,0.079824,0.14699,0.056202
7.5903,2.5904,0.53908,0.18651,0.58266,0.046728,0.093019,0.0010346,0.01369
3.1435,1.4727,0.44345,0.15343,0.19994,0.088198,0.032803,0.094947,0.0043312
6.5843,3.097,3.7458,0.79051,0.12555,0.22661,0.027966,0.18,0.084463
6.5848,1.8498,1.998,0.38674,0.44326,0.14515,0.060292,0.13298,0.13557
8.0219,4.63,1.191,0.46861,0.19289,0.063216,0.1164,0.0012105,0.019437
2.9168,2.4224,2.0361,1.3068,0.33144,0.15972,0.056585,0.20987,0.22928
7.4728,2.5612,1.7709,0.78995,0.41209,0.082703,0.093535,0.009306,0.039647
7.5546,2.1123,2.4226,0.37117,0.74499,0.21969,0.1118,0.26291,0.097426
5.3693,1.1878,0.93398,0.39137,0.51806,0.054355,0.1297,0.11083,0.024864
