"","date","winddir","Na","Mg","Al","Si","Ph","S","Cl","K","Ca","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","As","Se","Br","Rb","Sr","Y","Zr","Mo","Pd","Ag","Cd","In","Sn","Sb","Ba","La","Au","Hg","Tl","Pb","U","OC","EC","SO","NO"
"39","2001-06-26",117,0.319005,0.01997703,0.0208528,0.0939755,0.003565111,5.197042,0,0.05804166,0.1168694,0,0,0,0.003903003,0.1410322,0.000482704,0.001227446,0.002613495,0.02790027,0,0.000599932,0.003434091,0.01817034,0.000379267,0.00117228,0,0,0.001234342,0.000137915,0.000751638,0.00058614,0.001110218,0,0,0.02857605,0.02216299,0,0,0.000296518,0.01104702,0,5.33,0.75,12.28459,0.87
"40","2001-06-27",160,0.8021266,0.01325497,0.02600333,0.1371438,0,5.296927,0,0.1014595,0.1820857,0.01256099,0.003247813,0.000832773,0.00334497,0.1309674,0.00059682,0.000763375,0.003678079,0.01871657,0,0.001714124,0.002609354,0.009576886,0.000152675,0.002151329,0,0.000104097,0.000992387,0,0,0,0.000104097,0.002595475,0.001464292,0,0,0,0,0.000430266,0.01140205,0.001082604,3.94,0.63,12.7989,0.84
"41","2001-06-28",164,0.3526935,0.06054445,0.04137227,0.0958679,0,2.958852,0,0.08898306,0.1050289,0,0,0,0.001587729,0.06714125,0,0,0.001629881,0.01044669,0,0.001264563,0.001138106,0.004194133,0.000569053,0.00080089,0.00120836,0.000632281,0,0.001236461,0.000913295,0,0,0,0,0.02715297,0.002550201,0,0,0,0.003238685,7.72788e-05,4.22,0.61,6.35108,0.92
"42","2001-06-29",165,0.829236,0.1701107,0.03652365,0.1370972,0.01320817,2.704942,0,0.07827785,0.1376245,0,0,0,0.002330854,0.09983132,0.000201175,0.00011793,0.000790826,0.01132129,0,0.000964252,0.001484532,0.004897568,0.000721455,0.00011793,0,0,0,0,0.002518155,0.000346853,0,0.000138741,0.001401287,0.0144291,0.02136616,0,0,0.00092263,0.01006568,0,2.94,0.63,6.0851,0.98
"43","2001-06-30",187,0,0.06552176,0.2225029,0.5435758,0,3.065252,0,0.1886385,0.1983465,0,0,0,0.002937941,0.1922861,0.001170918,0,0.003108256,0.07137635,0,0.002263776,0.001681865,0.004584323,0.000695455,0.003633396,0,7.80612e-05,0,0.000695455,0,0.003619203,0,0.002377319,0.002320548,0.04362204,0.03516304,0,0,0.00036192,0.02524926,0.000830288,3.41,0.62,5.97,1.42
"44","2001-07-01",9,0.5647,0.1298911,0.10989,0.3113277,0,1.549635,0,0.2406412,0.09227812,0.009263309,0.000395926,0.000580237,0.002860226,0.1320346,0.001440352,0,0.004368841,0.06025588,0,0.003208368,0.001262868,0.001324305,0.000375447,0.00407531,0.000286705,5.46105e-05,0,0,0,0.009536361,0,0.005112909,0.001590531,0.01568004,0.008751335,0,0.000866942,0.001884063,0.03859598,0.000587063,2.98,0.55,3.27068,0.67
"45","2001-07-02",85,0.1965818,0.06167313,0.04011699,0.07792008,0,0.5417213,0.002257113,0.1020385,0.08867331,0,0,0,0.000901426,0.08237043,0.000589121,0,0.002179037,0.01006474,0,0.001731873,0.00026262,0.002235819,0.000319403,0.002434559,0,0.000234229,0.000156152,0.000738175,0.000291011,0.000958208,0,0,0.001121459,0.07679153,0.02987481,0,0,0.000489751,0.005266597,0.000340696,2.28,0.71,1.195276,0.31
"46","2001-07-03",215,0.1628442,0.08452275,0.1395122,0.3385227,0,2.235087,0,0.2411725,0.1394163,0,0,0,0.00268609,0.1542857,0.001185443,0.000376875,0.005385884,0.06166358,0,0.005762759,0.000883943,0.001144329,0.000705784,0.004522498,0,0.001171738,0.000568738,0.000712636,0.000280943,0.007674542,0.002720351,0.003898942,0,0.05137147,0.02320179,0,0,0.001082659,0.04268964,0.000596147,3.3,0.66,4.446415,0.55
"47","2001-07-04",324,0.4923296,0.4024934,0.9645162,0.06269218,0,6.410416,5.654,15.23088,0.1466836,0,0,0.002079869,0.01373418,0.134141,0.00210102,0.000613385,0.2620211,0.1091966,0,0.001960012,0.000768494,0.003102177,0.004688517,0.2911464,0.000289066,0.005887086,0,0.00018331,0.004096284,0.003398294,0,0.002770808,0.01358612,1.392602,0,0,0.000958855,0.001903609,0.1185596,0,5.29,0.75,1.4578,0.36
"48","2001-07-05",1,0.1140157,0.2018698,0.1537654,0.1210998,0,1.915916,0.009915006,1.952856,0.1110812,0,0,0.000262375,0.00776077,0.1911331,0.001519012,0.000117378,0.04146212,0.06525538,0,0.005937956,0.001194496,0.002644462,0.000842361,0.03778888,1.38092e-05,0.001118545,0,0.00121521,0.001463775,0.009445493,0,0,0,0.1677265,0.005282019,0,0,0.001318779,0.06538656,0.000131187,3.25,0.88,4.244775,1.18
"49","2001-07-06",155,0.3238598,0.07887002,0.03108341,0.06441263,0,1.625938,0,0.1098061,0.08393012,0,0,0,0.001024651,0.06102286,0.000364944,0,0.005017981,0.01308886,0,0.001382577,0.001761557,0.001803666,0.000575489,0.004119657,0,2.10545e-05,0,0.000414071,0,0.000301781,0.001894902,0.001038687,0,0.1322501,0.006309321,0,0,0.001031669,0.008400731,0,3.38,0.46,3.871875,0.4
"50","2001-07-07",214,0.8007334,0.1773654,0.07133142,0.1676092,0.01039142,2.37077,0,0.2583701,0.1154449,0,0,0,0.002437324,0.07778722,0.00085617,0,0.01391277,0.1311667,0,0.003997763,0.000635223,0.004315375,0.000214043,0.004481085,0,0,0.000207138,0.000269279,0.001933288,0.02917194,0.000352135,0.00354206,0.002382087,0.07641321,0,0,0,0.000787124,0.01987144,0,3.64,0.42,4.934932,0.48
"51","2001-07-08",252,0.5638558,0.0751942,0.1129546,0.3893546,0,2.052508,0,0.1428766,0.120654,0.0089641,0,0,0.003099216,0.1489986,0.000764381,0.000201519,0.01764329,0.05557742,0,0.002765668,0.001125724,0.003252092,0.000708789,0.003293786,0.000840819,0.000493373,0,0.000180672,0.000952001,0.005663365,0,0.003953932,0,0.01456492,0.00173028,0,0,0,0.01257754,0.00019457,4.48,0.37,4.490898,0.44
